comodidad	安慰 (ān wèi)
costa	岸 (àn)
en tierra	岸上 (àn shàng)
masaje	按摩 (àn mó)
jalar	拔 (bá)
visita	拜访 (bài fǎng)
versión	版 (bǎn)
jugar	扮演 (bàn yǎn)
rodear	包围 (bāo wéi)
Paquete	包装 (bāo zhuāng)
débil	薄弱 (bó ruò)
defender	保卫 (bǎo wèi)
mantenimiento	保养 (bǎo yǎng)
pagar	报答 (bào dá)
Llame a la policía	报警 (bào jǐng)
quejarse	抱怨 (bào yuàn)
tragedia	悲剧 (bēi jù)
triste	悲伤 (bēi shāng)
Ártico	北极 (běi jí)
pasivo	被动 (bèi dòng)
generación	辈 (bèi)
mí mismo	本人 (běn rén)
Por ejemplo	比方 (bǐ fāng)
proporción	比重 (bǐ zhòng)
entre sí	彼此 (bǐ cǐ)
debe	必 (bì)
requerido	必需 (bì xū)
después de todo	毕竟 (bì jìng)
cierre	闭幕 (bì mù)
ceremonia de clausura	闭幕式 (bì mù shì)
borde	边境 (biān jìng)
editar	编辑 (biān jí)
cambiar	变动 (biàn dòng)
conveniencia	便利 (biàn lì)
nota	便条 (biàn tiáo)
Hotel	宾馆 (bīn guǎn)
Virus	病毒 (bìng dú)
Vaso	玻璃 (bō lí)
blog	博客 (bó kè)
exposición	博览会 (bó lǎn huì)
museo	博物馆 (bó wù guǎn)
compensar	补偿 (bǔ cháng)
subvención	补贴 (bǔ tiē)
Nunca	不曾 (bù céng)
Increíble	不得了 (bù dé le)
No te atrevas a tomarlo	不敢当 (bù gǎn dāng)
independientemente de	不顾 (bù gù)
desfavorable	不利 (bù lì)
malo	不良 (bù liáng)
Inevitable	不免 (bù miǎn)
impaciente	不耐烦 (bù nài fán)
no puedo ayudar	不能不 (bù néng bù)
de vez en cuando	不时 (bù shí)
sin escalas	不停 (bù tíng)
Desafortunado	不幸 (bù xìng)
No permitido	不许 (bù xǔ)
No es fácil	不易 (bù yì)
más que	不止 (bù zhǐ)
insuficiente	不足 (bù zú)
regiones	部位 (bù wèi)
Adivinar	猜 (cāi)
adivinar	猜测 (cāi cè)
ensayo	裁判 (cái pàn)
compra	采购 (cǎi gòu)
Lotería	彩票 (cǎi piào)
Restaurante	餐馆 (cān guǎn)
Comedor	餐厅 (cān tīng)
ALIMENTO	餐饮 (cān yǐn)
pradera	草原 (cǎo yuán)
libro	册 (cè)
nivel	层次 (céng cì)
tenedor	叉 (chā)
tenedor	叉子 (chā zi)
Insertar	插 (chā)
Consulta	查询 (chá xún)
diferencia	差别 (chā bié)
Casi	差点儿 (chà diǎn ér)
brecha	差距 (chā jù)
Casi	差一点儿 (chà yì diǎn er)
desmantelar	拆 (chāi)
demoler	拆除 (chāi chú)
industria	产业 (chǎn yè)
intestinal	肠 (cháng)
gusto	尝 (cháng)
intentar	尝试 (cháng shì)
director de fábrica	厂长 (chǎng zhǎng)
escena	场面 (chǎng miàn)
defensor	倡导 (chàng dǎo)
trascender	超越 (chāo yuè)
dueño del auto	车主 (chē zhǔ)
título	称号 (chēng hào)
costo	成本 (chéng běn)
hacer un trato	成交 (chéng jiāo)
eficacia	成效 (chéng xiào)
modismo	成语 (chéng yǔ)
Emprender	承办 (chéng bàn)
en la ciudad	城里 (chéng lǐ)
llevar	乘 (chéng)
dar un paseo	乘车 (chéng chē)
pasajero	乘客 (chéng kè)
conducir	乘坐 (chéng zuò)
agotador	吃力 (chī lì)
estanque	池子 (chí zi)
Tarde	迟 (chí)
adecuado	充足 (chōng zú)
impulso	冲动 (chōng dòng)
conflicto	冲突 (chōng tū)
preocuparse	愁 (chóu)
feo	丑 (chǒu)
Maloliente	臭 (chòu)
publicación	出版 (chū bǎn)
En viaje de negocios	出差 (chū chāi)
transpiración	出汗 (chū hàn)
fuera de	出于 (chū yú)
inicial	初期 (chū qī)
a menos que	除非 (chú fēi)
Nochevieja lunar	除夕 (chú xī)
cocina	厨房 (chú fáng)
castigo	处罚 (chǔ fá)
Castigo	处分 (chǔ fèn)
en	处在 (chù zài)
transmitir	传达 (chuán dá)
transferir	传递 (chuán dì)
fax	传真 (chuán zhēn)
cortina	窗帘 (chuāng lián)
forzar	闯 (chuǎng)
Fundado	创立 (chuàng lì)
diccionario	辞典 (cí diǎn)
Renunciar	辞职 (cí zhí)
después de eso	此后 (cǐ hòu)
ahora	此刻 (cǐ kè)
en este momento	此时 (cǐ shí)
inteligente	聪明 (cōng míng)
así	从而 (cóng ér)
de	从中 (cóng zhōng)
crujiente	脆 (cuì)
depósito	存款 (cún kuǎn)
pulgada	寸 (cùn)
lograr	达成 (dá chéng)
respuesta	答 (dá)
responder	答复 (dá fù)
disfrazarse	打扮 (dǎ bàn)
Embalar	打包 (dǎ bāo)
explotar	打击 (dǎ jī)
luchar	打架 (dǎ jià)
molestar	打扰 (dǎ rǎo)
Atrevido	大胆 (dà dǎn)
dadu	大都 (dà dū)
describir	大纲 (dà gāng)
todos	大伙儿 (dà huǒ ér)
gran premio	大奖赛 (dà jiǎng sài)
cerebro	大脑 (dà nǎo)
importante	大事 (dà shì)
sala	大厅 (dà tīng)
elefante	大象 (dà xiàng)
panda gigante	大熊猫 (dà xióng māo)
más que	大于 (dà yú)
aproximadamente	大致 (dà zhì)
permanecer	呆 (dāi)
costo	代价 (dài jià)
interino	代理 (dài lǐ)
con	带有 (dài yǒu)
tratar	待 (dài)
préstamo	贷款 (dài kuǎn)
soltero	单一 (dān yī)
coraje	胆 (dǎn)
tímido	胆小 (dǎn xiǎo)
bomba	弹 (dàn)
pastel	蛋糕 (dàn gāo)
en el lugar	当场 (dāng chǎng)
contemporáneo	当代 (dāng dài)
entonces	当年 (dāng nián)
actual	当前 (dāng qián)
elegido	当选 (dāng xuǎn)
bloquear	挡 (dǎng)
llegada	到来 (dào lái)
De lo contrario	倒是 (dǎo shì)
Moralidad	道德 (dào dé)
zona	地带 (dì dài)
terreno	地形 (dì xíng)
terremoto	地震 (dì zhèn)
poder	得以 (dé yǐ)
espera	等候 (děng hòu)
calificación	等级 (děng jí)
inferior a	低于 (dī yú)
Entregar	递 (dì)
entregado a	递给 (dì gěi)
ceremonia	典礼 (diǎn lǐ)
encender	点燃 (diǎn rán)
Batería	电池 (diàn chí)
olla arrocera	电饭锅 (diàn fàn guō)
versión electrónica	电子版 (diàn zi bǎn)
transferir	调动 (diào dòng)
ajustar	调节 (tiáo jié)
mediar	调解 (tiáo jiě)
dejar	丢 (diū)
motivación	动机 (dòng jī)
Tomar medidas	动手 (dòng shǒu)
dinámica	动态 (dòng tài)
movilización	动员 (dòng yuán)
congelar	冻 (dòng)
Agujero	洞 (dòng)
Productos de soja	豆制品 (dòu zhì pǐn)
veneno	毒 (dú)
montón	堆 (duī)
oposición	对立 (duì lì)
corresponder	对应 (duì yìng)
tonelada	吨 (dūn)
esconder	躲 (duǒ)
Dúo	朵 (duǒ)
niños	儿女 (ér nǚ)
código qr	二维码 (èr wéi mǎ)
liberar	发布 (fā bù)
encontrar	发觉 (fā jué)
emisión	发射 (fā shè)
emitido	发行 (fā xíng)
castigar	罚 (fá)
bien	罚款 (fá kuǎn)
regulaciones	法规 (fǎ guī)
sistema legal	法制 (fǎ zhì)
Prosperidad	繁荣 (fán róng)
devolver	返回 (fǎn huí)
Prevención y control	防治 (fáng zhì)
agrandar	放大 (fàng dà)
dividido en	分成 (fēn chéng)
descomponer	分解 (fēn jiě)
Clasificación	分类 (fēn lèi)
separación	分离 (fēn lí)
analizar	分析 (fēn xī)
compartir	分享 (fēn xiǎng)
cosecha abundante	丰收 (fēng shōu)
comportamiento	风度 (fēng dù)
escenario	风光 (fēng guāng)
loco	疯 (fēng)
loco	疯狂 (fēng kuáng)
ayuda	扶 (fú)
cumplir	服从 (fú cóng)
ancho	幅 (fú)
Amplitud	幅度 (fú dù)
Bienestar	福利 (fú lì)
Auxiliar	辅助 (fǔ zhù)
persona responsable	负责人 (fù zé rén)
apéndice	附件 (fù jiàn)
reforma	改革 (gǎi gé)
pensamientos	感想 (gǎn xiǎng)
simplemente	干脆 (gān cuì)
interferencia	干扰 (gān rǎo)
intervención	干预 (gān yù)
bolígrafo	钢笔 (gāng bǐ)
piano	钢琴 (gāng qín)
alto	高大 (gāo dà)
alto	高度 (gāo dù)
tacón alto	高跟鞋 (gāo gēn xié)
temperatura alta	高温 (gāo wēn)
más alto que	高于 (gāo yú)
meseta	高原 (gāo yuán)
hacer	搞 (gǎo)
hazlo bien	搞好 (gǎo hǎo)
canción	歌曲 (gē qǔ)
al lado	隔壁 (gé bì)
altura	个儿 (gè ér)
delante de	跟前 (gēn qián)
seguir	跟随 (gēn suí)
reemplazar	更换 (gēng huàn)
renovar	更新 (gēng xīn)
Artesanía	工艺 (gōng yì)
artesanía	工艺品 (gōng yì pǐn)
jornada laboral	工作日 (gōng zuò rì)
anuncio	公告 (gōng gào)
aceptado	公认 (gōng rèn)
oficial	公式 (gōng shì)
justo	公正 (gōng zhèng)
total	共计 (gòng jì)
compartido	共享 (gòng xiǎng)
zanja	沟 (gōu)
comunicar	沟通 (gōu tōng)
antiguo	古老 (gǔ lǎo)
tambor	鼓 (gǔ)
alentar	鼓励 (gǔ lì)
aplaudir	鼓掌 (gǔ zhǎng)
consultor	顾问 (gù wèn)
cuidado	关怀 (guān huái)
llave	关键 (guān jiàn)
campeón	冠军 (guàn jūn)
gloria	光荣 (guāng róng)
luz	光线 (guāng xiàn)
ancho	广 (guǎng)
ampliamente	广泛 (guǎng fàn)
