sufrir	挨 (āi)
ser golpeado	挨打 (ái dǎ)
junto a	挨着 (āi zhe)
huelga	罢工 (bà gōng)
Eso es todo	罢了 (bà le)
de cuello blanco	白领 (bái lǐng)
punto porcentual	百分点 (bǎi fēn diǎn)
oficina	办事处 (bàn shì chù)
dirigiendo una escuela	办学 (bàn xué)
semifinales	半决赛 (bàn jué sài)
noche	傍晚 (bàng wǎn)
cuidado de la salud	保健 (bǎo jiàn)
prensa	报刊 (bào kān)
tormenta	暴风雨 (bào fēng yǔ)
Violencia	暴力 (bào lì)
expuesto	暴露 (bào lù)
tormenta	暴雨 (bào yǔ)
explosión	爆 (bào)
fugarse	爆发 (bào fā)
explotar	爆炸 (bào zhà)
miseria	悲惨 (bēi cǎn)
Chaleco	背心 (bèi xīn)
Que lleva	背着 (bèi zhe)
acusado	被告 (bèi gào)
correr	奔跑 (bēn pǎo)
local	本地 (běn dì)
Este problema	本期 (běn qī)
sí mismo	本身 (běn shēn)
local	本土 (běn tǔ)
naturaleza	本质 (běn zhì)
fuerza	逼 (bī)
Visita obligada	必将 (bì jiāng)
Requerido	必修 (bì xiū)
cerca	闭 (bì)
borde	边缘 (biān yuán)
Preparado por	编制 (biān zhì)
departamento	扁 (biǎn)
cambiar	变更 (biàn gēng)
transformar	变换 (biàn huàn)
deformación	变形 (biàn xíng)
Conveniencia	便 (biàn)
Eso es todo	便是 (biàn shì)
en todos lados	遍地 (biàn dì)
en la superficie	表面上 (biǎo miàn shàng)
Pabellón	病房 (bìng fáng)
enfermedad	病情 (bìng qíng)
marcar	拨打 (bō dǎ)
fluctuación	波动 (bō dòng)
ola	波浪 (bō làng)
transmisión	播 (bō)
examen de recuperación	补考 (bǔ kǎo)
inventar una lección	补课 (bǔ kè)
tutoría	补习 (bǔ xí)
subvención	补助 (bǔ zhù)
atrapar	捕 (bǔ)
inconveniente	不便 (bù biàn)
De ninguna manera	不成 (bù chéng)
no ver	不见 (bú jiàn)
no solo	不仅仅 (bù jǐn jǐn)
No puedo evitarlo	不禁 (bù jīn)
inesperadamente	不料 (bù liào)
no tiene sentido	不通 (bù tōng)
ya no	不再 (bù zài)
no muy	不怎么 (bù zěn me)
No tan bueno	不怎么样 (bù zěn me yàng)
no vale la pena	不值 (bù zhí)
No al punto	不至于 (bù zhì yú)
cubierto	布满 (bù mǎn)
fuerza	部队 (bù duì)
adopción	采纳 (cǎi nà)
pisar	踩 (cǎi)
Participar	参赛 (cān sài)
Exhibición	参展 (cān zhǎn)
comida	餐 (cān)
Discapacidad	残疾 (cán jí)
Desactivado	残疾人 (cán jí rén)
cruel	残酷 (cán kù)
miserable	惨 (cǎn)
almacén	仓库 (cāng kù)
tibetano	藏 (cáng)
